date	away_team	home_team	predicted_total	market_adjusted_total	prediction_std	close_total_line	edge	p_over	bet	actual_total	bet_won
2023-05-28	Toronto Blue Jays	Minnesota Twins	7.791854868356595	7.7812068580516565	4.266243	8.5	-0.7187931419483435	0.43310131477184843	UNDER	3.0	True
2023-05-28	Philadelphia Phillies	Atlanta Braves	8.70361248204393	8.913277522691786	4.267313	9.0	-0.08672247730821425	0.4918930527220016	UNDER	15.0	False
2023-05-29	Minnesota Twins	Houston Astros	8.702302861452235	7.914251071508003	4.219408	8.0	-0.08574892849199678	0.4918930527220016	UNDER	12.0	False
2023-05-29	Kansas City Royals	St. Louis Cardinals	9.529002402914111	9.41140796863344	4.3593073	9.5	-0.08859203136655935	0.4918930527220016	UNDER	7.0	True
2023-05-29	Tampa Bay Rays	Chicago Cubs	7.282645747317748	6.117831058872257	4.8133774	8.0	-1.882168941127743	0.34788799240626483	UNDER	1.0	True
2023-05-29	Cleveland Guardians	Baltimore Orioles	8.441144581267674	7.659035796160032	4.4760337	7.75	-0.09096420383996762	0.4918930527220016	UNDER	5.0	True
2023-05-29	Pittsburgh Pirates	San Francisco Giants	8.373857738426912	8.412574174759891	4.3019223	8.5	-0.08742582524010878	0.4918930527220016	UNDER	18.0	False
2023-05-29	Texas Rangers	Detroit Tigers	8.442264292626449	7.201921368152958	4.3128586	8.5	-1.2980786318470416	0.3817153628652215	UNDER	5.0	True
2023-05-29	Colorado Rockies	Arizona Diamondbacks	8.734357658475576	8.772123447708019	4.3201556	9.5	-0.7278765522919812	0.43310131477184843	UNDER	12.0	False
2023-05-30	New York Yankees	Seattle Mariners	9.824254326072246	9.311474925076237	4.574418	7.5	1.8114749250762365	0.5870646766169154	OVER	12.0	True
2023-05-30	Philadelphia Phillies	New York Mets	7.683396593820723	6.565083027092838	4.3089337	8.25	-1.6849169729071622	0.34788799240626483	UNDER	2.0	True
2023-05-30	Kansas City Royals	St. Louis Cardinals	8.421543863448738	8.271873913620587	4.3216367	9.0	-0.7281260863794135	0.43310131477184843	UNDER	3.0	True
2023-05-30	San Diego Padres	Miami Marlins	7.703905701407095	7.506054930721825	4.415527	8.25	-0.7439450692781753	0.43310131477184843	UNDER	13.0	False
